medal;country;athlete_name;games;sport;event;sex
1;Australia;Bobby PEARCE;Netherlands;Rowing;single sculls (1x);Men's
2;Australia;Andrew CHARLTON;Netherlands;Swimming;400m freestyle;Men's
2;Australia;Andrew CHARLTON;Netherlands;Swimming;1500m freestyle;Men's
3;Australia;Edgar Laurence GRAY;Netherlands;Cycling Track;1km time trial;Men's
1;Australia;Edgar Laurence GRAY;United States;Cycling Track;1km time trial;Men's
1;Australia;Bobby PEARCE;United States;Rowing;single sculls (1x);Men's
1;Australia;Clare DENNIS;United States;Swimming;200m breaststroke;Women's
2;Australia;Bonnie MEALING;United States;Swimming;100m backstroke;Women's
3;Australia;Eddie SCARF;United States;Wrestling Freestyle;79 - 87kg (light-heavyweight);Men's
3;Australia;Jack METCALFE;Germany;Athletics;triple jump;Men's
1;Australia;John WINTER;Great Britain;Athletics;high jump;Men's
1;Australia;Mervyn WOOD;Great Britain;Rowing;single sculls (1x);Men's
2;Australia;Thomas Theodore BRUCE;Great Britain;Athletics;long jump;Men's
2;Australia;George Gordon AVERY;Great Britain;Athletics;triple jump;Men's
2;Australia;Shirley STRICKLAND/June MASTON/Joyce KING/Betty MCKINNON;Great Britain;Athletics;4x100m relay;Women's
2;Australia;John MARSHALL;Great Britain;Swimming;1500m freestyle;Men's
2;Australia;Nancy LYONS;Great Britain;Swimming;200m breaststroke;Women's
2;Australia;Richard Edward GARRARD;Great Britain;Wrestling Freestyle;67 - 73kg (welterweight);Men's
3;Australia;Shirley STRICKLAND;Great Britain;Athletics;100m;Women's
3;Australia;Shirley STRICKLAND;Great Britain;Athletics;80m hurdles;Women's
3;Australia;John MARSHALL;Great Britain;Swimming;400m freestyle;Men's
3;Australia;Judy DAVIES;Great Britain;Swimming;100m backstroke;Women's
3;Australia;Joseph ARMSTRONG;Great Britain;Wrestling Freestyle;+ 87kg (heavyweight);Men's
1;Australia;Marjorie JACKSON;Finland;Athletics;100m;Women's
1;Australia;Marjorie JACKSON;Finland;Athletics;200m;Women's
1;Australia;Shirley STRICKLAND;Finland;Athletics;80m hurdles;Women's
1;Australia;Russell MOCKRIDGE;Finland;Cycling Track;1km time trial;Men's
1;Australia;Lionel COX/Russell MOCKRIDGE;Finland;Cycling Track;2000m tandem;Men's
1;Australia;John DAVIES;Finland;Swimming;200m breaststroke;Men's
2;Australia;Lionel COX;Finland;Cycling Track;sprint individual;Men's
2;Australia;Mervyn WOOD;Finland;Rowing;single sculls (1x);Men's
3;Australia;Shirley STRICKLAND;Finland;Athletics;100m;Women's
3;Australia;Nimrod GREENWOOD/Ernest CHAPMAN/Edward PAIN/Philip CAYZER/Geoffrey WILLIAMSON/Thomas CHESSEL/Mervyn FINLAY/Robert TINNING/David ANDERSON;Finland;Rowing;eight with coxswain (8+);Men's
3;Australia;Verdi BARBERIS;Finland;Weightlifting;60 - 67.5kg (lightweight);Men's
1;Australia;Betty CUTHBERT;Australia / Sweden;Athletics;100m;Women's
1;Australia;Betty CUTHBERT;Australia / Sweden;Athletics;200m;Women's
1;Australia;Shirley STRICKLAND;Australia / Sweden;Athletics;80m hurdles;Women's
