medal;country;athlete_name;games;sport;event;sex
3;Switzerland;Карин Тюриг;Greece;Cycling Road;individual time trial;Women's
3;Switzerland;Свен Ридерер;Greece;Triathlon;individual;Men's
1;Switzerland;Evelyne LEU;Italy;Freestyle Skiing;aerials;Women's
1;Switzerland;Maya PEDERSEN;Italy;Skeleton;individual;Women's
1;Switzerland;Philipp SCHOCH;Italy;Snowboard;Giant parallel slalom;Men's
1;Switzerland;Daniela MEULI;Italy;Snowboard;Giant parallel slalom;Women's
1;Switzerland;Tanja FRIEDEN;Italy;Snowboard;Snowboard Cross;Women's
2;Switzerland;Martina SCHILD;Italy;Alpine Skiing;downhill;Women's
2;Switzerland;Michele MOSER/Manuela KORMANN/Valeria SPAELTY/Binia FELTSCHER/Mirjam OTT;Italy;Curling;curling;Women's
2;Switzerland;Stephane LAMBIEL;Italy;Figure skating;individual;Men's
2;Switzerland;Simon SCHOCH;Italy;Snowboard;Giant parallel slalom;Men's
3;Switzerland;Ambrosi HOFFMANN;Italy;Alpine Skiing;super-G;Men's
3;Switzerland;Bruno KERNEN;Italy;Alpine Skiing;downhill;Men's
3;Switzerland;Martin ANNEN/Beat HEFTI;Italy;Bobsleigh;two-man;Men's
3;Switzerland;Cedric GRAND/Beat HEFTI/Thomas LAMPARTER/Martin ANNEN;Italy;Bobsleigh;four-man;Men's
3;Switzerland;Gregor STAEHLI;Italy;Skeleton;individual;Men's
1;Switzerland;Fabian CANCELLARA;China;Cycling Road;individual time trial;Men's
1;Switzerland;Stanislas WAWRINKA/Roger FEDERER;China;Tennis;doubles;Men's
2;Switzerland;Fabian CANCELLARA;China;Cycling Road;individual road race;Men's
3;Switzerland;Nino SCHURTER;China;Cycling Mountain Bike;cross-country;Men's
3;Switzerland;Karin THURIG;China;Cycling Road;individual time trial;Women's
3;Switzerland;Steve GUERDAT/Pius SCHWIZER/Niklaus SCHURTENBERGER/Christina LIEBHERR;China;Equestrian Jumping;team;Mixed
3;Switzerland;Sergei ASCHWANDEN;China;Judo;81 - 90kg (middleweight);Men's
1;Switzerland;Carlo JANKA;Canada;Alpine Skiing;giant slalom;Men's
1;Switzerland;Didier DEFAGO;Canada;Alpine Skiing;downhill;Men's
1;Switzerland;Dario COLOGNA;Canada;Cross Country Skiing;15km;Men's
1;Switzerland;Michael SCHMID;Canada;Freestyle Skiing;Ski Cross;Men's
1;Switzerland;Simon AMMANN;Canada;Ski Jumping;Normal Hill individual;Men's
1;Switzerland;Simon AMMANN;Canada;Ski Jumping;Large Hill individual;Men's
3;Switzerland;Silvan ZURBRIGGEN;Canada;Alpine Skiing;Alpine combined;Men's
3;Switzerland;Toni MUELLER/Jan HAUSER/Ralph STOECKLI/Markus EGGLER/Simon STRUEBIN;Canada;Curling;curling;Men's
3;Switzerland;Olivia NOBS;Canada;Snowboard;Snowboard Cross;Women's
1;Switzerland;Steve GUERDAT;Great Britain;Equestrian Jumping;individual;Mixed
1;Switzerland;Nicola SPIRIG;Great Britain;Triathlon;individual;Women's
2;Switzerland;Nino SCHURTER;Great Britain;Cycling Mountain Bike;cross-country;Men's
2;Switzerland;Roger FEDERER;Great Britain;Tennis;singles;Men's
1;Switzerland;Sandro VILETTA;Russian Federation;Alpine Skiing;Alpine combined;Men's
1;Switzerland;Dominique GISIN;Russian Federation;Alpine Skiing;downhill;Women's
1;Switzerland;Beat HEFTI/Alex BAUMANN;Russian Federation;Bobsleigh;two-man;Men's
1;Switzerland;Dario COLOGNA;Russian Federation;Cross Country Skiing;Combined 15km + 15km mass start;Men's
1;Switzerland;Dario COLOGNA;Russian Federation;Cross Country Skiing;15km;Men's
1;Switzerland;Iouri PODLADTCHIKOV;Russian Federation;Snowboard;Half-pipe;Men's
1;Switzerland;Patrizia KUMMER;Russian Federation;Snowboard;Giant parallel slalom;Women's
2;Switzerland;Selina GASPARIN;Russian Federation;Biathlon;15km individual;Women's
2;Switzerland;Nevin GALMARINI;Russian Federation;Snowboard;Giant parallel slalom;Men's
3;Switzerland;Lara GUT;Russian Federation;Alpine Skiing;downhill;Women's
3;Switzerland;Florence SCHELLING/Evelina RASELLI/Romy EGGIMANN/Jessica LUTZ/Alina MULLER/Sophie ANTHAMATTEN/Julia MARTY/Nicole BULLO/Phoebe STAENZ/Sara BENZ/Sandra THALMANN/Livia ALTMANN/Stefanie MARTY/Katrin NABHOLZ/Sarah FORSTER/Anja STIEFEL/Janine ALDER/Lara STALDER/Nina WAIDACHER/Angela FRAUTSCHI/Laura BENZ;Russian Federation;Ice Hockey;ice hockey;Women's
1;Switzerland;SCHURTER Nino;Brazil;Cycling Mountain Bike;cross-country;Men's
1;Switzerland;CANCELLARA Fabian;Brazil;Cycling Road;individual time trial;Men's
1;Switzerland;Switzerland;Brazil;Rowing;lightweight coxless four (4-);Men's
2;Switzerland;Hingis/Bacsinszky;Brazil;Tennis;doubles;Women's
2;Switzerland;SPIRIG HUG Nicola;Brazil;Triathlon;individual;Women's
3;Switzerland;STEINGRUBER Giulia;Brazil;Gymnastics Artistic;vault;Women's
3;Switzerland;DIETHELM GERBER Heidi;Brazil;Shooting;25m pistol;Women's
1;Switzerland;Michelle GISIN;Korea Republic;Alpine Skiing;Alpine combined;Women's
1;Switzerland;Wendy HOLDENER/Daniel YULE/Denise FEIERABEND/Luca AERNI/Ramon ZENHAEUSERN;Korea Republic;Alpine Skiing;team;Mixed
1;Switzerland;Dario COLOGNA;Korea Republic;Cross Country Skiing;15km;Men's
1;Switzerland;Sarah HOEFFLIN;Korea Republic;Freestyle Skiing;Slopestyle;Women's
1;Switzerland;Nevin GALMARINI;Korea Republic;Snowboard;Giant parallel slalom;Men's
2;Switzerland;Ramon ZENHAEUSERN;Korea Republic;Alpine Skiing;slalom;Men's
2;Switzerland;Beat FEUZ;Korea Republic;Alpine Skiing;super-G;Men's
2;Switzerland;Wendy HOLDENER;Korea Republic;Alpine Skiing;slalom;Women's
2;Switzerland;Jenny PERRET/Martin RIOS;Korea Republic;Curling;Doubles;Mixed
2;Switzerland;Marc BISCHOFBERGER;Korea Republic;Freestyle Skiing;Ski Cross;Men's
2;Switzerland;Mathilde GREMAUD;Korea Republic;Freestyle Skiing;Slopestyle;Women's
3;Switzerland;Beat FEUZ;Korea Republic;Alpine Skiing;downhill;Men's
3;Switzerland;Wendy HOLDENER;Korea Republic;Alpine Skiing;Alpine combined;Women's
3;Switzerland;Claudio PAETZ/Valentin TANNER/Benoit SCHWARZ/Peter DE CRUZ/Dominik MAERKI;Korea Republic;Curling;curling;Men's
3;Switzerland;Fanny SMITH;Korea Republic;Freestyle Skiing;Ski Cross;Women's
1;Switzerland;NEFF Jolanda;Japan;Cycling Mountain Bike;cross-country;Women's
1;Switzerland;CHRISTEN Nina;Japan;Shooting;50m rifle 3 positions;Women's
1;Switzerland;BENCIC Belinda;Japan;Tennis;singles;Women's
2;Switzerland;FLUECKIGER Mathias;Japan;Cycling Mountain Bike;cross-country;Men's
2;Switzerland;FREI Sina;Japan;Cycling Mountain Bike;cross-country;Women's
2;Switzerland;REUSSER Marlen;Japan;Cycling Road;individual time trial;Women's
2;Switzerland;GOLUBIC Viktorija/BENCIC Belinda;Japan;Tennis;doubles;Women's
3;Switzerland;VERGE-DEPRE Anouk/HEIDRICH Joana;Japan;Beach Volleyball;beach volleyball;Women's
3;Switzerland;DUCARROZ Nikita;Japan;Cycling BMX Freestyle;freestyle park individual;Women's
3;Switzerland;INDERGAND Linda;Japan;Cycling Mountain Bike;cross-country;Women's
3;Switzerland;CHRISTEN Nina;Japan;Shooting;10m air rifle;Women's
3;Switzerland;PONTI Noe;Japan;Swimming;100m butterfly;Men's
3;Switzerland;DESPLANCHES Jeremy;Japan;Swimming;200m individual medley;Men's
1;Switzerland;ODERMATT Marco;China;Alpine Skiing;giant slalom;Men's
1;Switzerland;FEUZ Beat;China;Alpine Skiing;downhill;Men's
1;Switzerland;GISIN Michelle;China;Alpine Skiing;Alpine combined;Women's
1;Switzerland;GUT-BEHRAMI Lara;China;Alpine Skiing;super-G;Women's
1;Switzerland;SUTER Corinne;China;Alpine Skiing;downhill;Women's
1;Switzerland;REGEZ Ryan;China;Freestyle Skiing;Ski Cross;Men's
1;Switzerland;GREMAUD Mathilde;China;Freestyle Skiing;Slopestyle;Women's
2;Switzerland;HOLDENER Wendy;China;Alpine Skiing;Alpine combined;Women's
2;Switzerland;FIVA Alex;China;Freestyle Skiing;Ski Cross;Men's
3;Switzerland;HOLDENER Wendy;China;Alpine Skiing;slalom;Women's
3;Switzerland;GUT-BEHRAMI Lara;China;Alpine Skiing;giant slalom;Women's
3;Switzerland;GISIN Michelle;China;Alpine Skiing;super-G;Women's
3;Switzerland;GREMAUD Mathilde;China;Freestyle Skiing;Big air;Women's
3;Switzerland;SMITH Fanny;China;Freestyle Skiing;Ski Cross;Women's
3;Switzerland;SCHERRER Jan;China;Snowboard;Half-pipe;Men's
2;Syria;Josep ATIYEH;United States;Wrestling Freestyle;90 - 100kg (heavyweight);Men's
1;Syria;Шуаа;United States;Athletics;heptathlon;Women's
3;Syria;Насер Аль-Шами;Greece;Boxing;81 - 91kg (heavyweight);Men's
3;Syria;ASAAD Man;Japan;Weightlifting;+ 109kg;Men's
2;Tajikistan;Yusup ABDUSALOMOV;China;Wrestling Freestyle;74 - 84kg;Men's
3;Tajikistan;Rasul BOQIEV;China;Judo;66 - 73kg (lightweight);Men's
3;Tajikistan;Mavzuna CHORIEVA;Great Britain;Boxing;51 - 60kg (lightweight);Women's
1;Tajikistan;NAZAROV Dilshod;Brazil;Athletics;hammer throw;Men's
2;Tanzania;Suleiman NYAMBUI;USSR;Athletics;5000m;Men's
2;Tanzania;Filbert BAYI;USSR;Athletics;3000m steeplechase;Men's
3;Thailand;Payao POOLTARAT;Canada;Boxing;- 48kg (light-flyweight);Men's
2;Thailand;Dhawee UMPONMAHA;United States;Boxing;60 - 63.5kg (light-welterweight);Men's
3;Thailand;Phajol MOOLSAN;Korea Republic;Boxing;51 - 54kg (bantamweight);Men's
3;Thailand;Arkom CHENGLAI;Spain;Boxing;63.5 - 67kg (welterweight);Men's
1;Thailand;Камсинг;United States;Boxing;54 - 57kg (featherweight);Men's
3;Thailand;Кхадро;United States;Boxing;51 - 54kg (bantamweight);Men's
1;Thailand;Вийджан Понлид;Australia;Boxing;48 - 51kg (flyweight);Men's
3;Thailand;Порнчай Тонгбуран;Australia;Boxing;67 - 71kg (light-middleweight);Men's
3;Thailand;Сута Хассарапорн;Australia;Weightlifting;53 - 58kg (lightweight);Women's
1;Thailand;Манус Бунхамнонг;Greece;Boxing;60 - 64kg (light-welterweight);Men's
1;Thailand;Удомпорн Полсак;Greece;Weightlifting;48 - 53kg (featherweight);Women's
1;Thailand;Павина Тонгсук;Greece;Weightlifting;69 - 75kg (heavyweight);Women's
2;Thailand;Ворапой Петчкум;Greece;Boxing;51 - 54kg (bantamweight);Men's
3;Thailand;Сюрия Прасатхинпхимай;Greece;Boxing;69 - 75kg (middleweight);Men's
3;Thailand;Яовапа Бураполчай;Greece;Taekwondo;- 49 kg;Women's
3;Thailand;Арее Виратаворн;Greece;Weightlifting;- 48kg (flyweight);Women's
3;Thailand;Ванди Камэим;Greece;Weightlifting;53 - 58kg (lightweight);Women's
1;Thailand;Somjit JONGJOHOR;China;Boxing;48 - 51kg (flyweight);Men's
1;Thailand;Prapawadee JAROENRATTANATARAKOON;China;Weightlifting;48 - 53kg (featherweight);Women's
2;Thailand;Manus BOONJUMNONG;China;Boxing;60 - 64kg (light-welterweight);Men's
2;Thailand;Buttree PUEDPONG;China;Taekwondo;- 49 kg;Women's
3;Thailand;Pensiri LAOSIRIKUL;China;Weightlifting;- 48kg (flyweight);Women's
3;Thailand;Wandee KAMEAIM;China;Weightlifting;53 - 58kg (lightweight);Women's
2;Thailand;Kaeo PONGPRAYOON;Great Britain;Boxing;- 49kg (light-flyweight);Men's
2;Thailand;Pimsiri SIRIKAEW;Great Britain;Weightlifting;53 - 58kg (lightweight);Women's
3;Thailand;Chanatip SONKHAM;Great Britain;Taekwondo;- 49 kg;Women's
3;Thailand;Rattikan GULNOI;Great Britain;Weightlifting;53 - 58kg (lightweight);Women's
1;Thailand;TANASAN Sopita;Brazil;Weightlifting;- 48kg (flyweight);Women's
1;Thailand;SRISURAT Sukanya;Brazil;Weightlifting;53 - 58kg (lightweight);Women's
2;Thailand;HANPRAB Tawin;Brazil;Taekwondo;- 58 kg;Men's
2;Thailand;SIRIKAEW Pimsiri;Brazil;Weightlifting;53 - 58kg (lightweight);Women's
3;Thailand;WONGPATTANAKIT Panipak;Brazil;Taekwondo;- 49 kg;Women's
3;Thailand;KRUAITHONG Sinphet;Brazil;Weightlifting;- 56kg (bantamweight);Men's
1;Thailand;WONGPATTANAKIT Panipak;Japan;Taekwondo;- 49 kg;Women's
3;Thailand;SEESONDEE Sudaporn;Japan;Boxing;57 - 60kg (lightweight);Women's
3;Togo;Benjamin BOUKPETI;China;Canoe Slalom;K-1 (kayak single);Men's
2;Tonga;Волфграм;United States;Boxing;+ 91kg (super heavyweight);Men's
2;Tunisia;Mohamed GAMMOUDI;Japan;Athletics;10000m;Men's
3;Tunisia;Habib GALHIA;Japan;Boxing;60 - 63.5kg (light-welterweight);Men's
1;Tunisia;Mohamed GAMMOUDI;Mexico;Athletics;5000m;Men's
3;Tunisia;Mohamed GAMMOUDI;Mexico;Athletics;10000m;Men's
2;Tunisia;Mohamed GAMMOUDI;Germany;Athletics;5000m;Men's
3;Tunisia;Миссауи;United States;Boxing;60 - 63.5kg (light-welterweight);Men's
1;Tunisia;Oussama MELLOULI;China;Swimming;1500m freestyle;Men's
1;Tunisia;Habiba GHRIBI;Great Britain;Athletics;3000m steeplechase;Women's
1;Tunisia;Oussama MELLOULI;Great Britain;Marathon swimming;marathon 10km;Men's
3;Tunisia;Oussama MELLOULI;Great Britain;Swimming;1500m freestyle;Men's
3;Tunisia;BOUBAKRI Ines;Brazil;Fencing;foil individual;Women's
3;Tunisia;OUESLATI Oussama;Brazil;Taekwondo;68 - 80 kg;Men's
3;Tunisia;AMRI Marwa;Brazil;Wrestling Freestyle;58kg;Women's
1;Tunisia;HAFNAOUI Ahmed;Japan;Swimming;400m freestyle;Men's
2;Tunisia;JENDOUBI Mohamed Khalil;Japan;Taekwondo;- 58 kg;Men's
1;Turkey;Yasar ERKAN;Germany;Wrestling Greco-Roman;56 - 61kg (featherweight);Men's
3;Turkey;Ahmet KIREÇÇI;Germany;Wrestling Freestyle;72 - 79kg (middleweight);Men's
1;Turkey;Nasuh AKAR;Great Britain;Wrestling Freestyle;52 - 57kg (bantamweight);Men's
1;Turkey;Gazanfer BILGE;Great Britain;Wrestling Freestyle;57 - 63kg (featherweight);Men's
1;Turkey;Celal ATIK;Great Britain;Wrestling Freestyle;63 - 67kg (lightweight);Men's
1;Turkey;Yasar DOGU;Great Britain;Wrestling Freestyle;67 - 73kg (welterweight);Men's
1;Turkey;Mehmet OKTAV;Great Britain;Wrestling Greco-Roman;57 - 61kg (featherweight);Men's
1;Turkey;Ahmet KIREÇÇI;Great Britain;Wrestling Greco-Roman;+ 87kg (super heavyweight);Men's
2;Turkey;Halit BALAMIR;Great Britain;Wrestling Freestyle;- 52kg (flyweight);Men's
2;Turkey;Adil CANDEMIR;Great Britain;Wrestling Freestyle;73 - 79kg (middleweight);Men's
2;Turkey;Kenan OLCAY;Great Britain;Wrestling Greco-Roman;- 52kg (flyweight);Men's
2;Turkey;Muhlis TAYFUR;Great Britain;Wrestling Greco-Roman;73 - 79kg (middleweight);Men's
3;Turkey;Ruhi SARIALP;Great Britain;Athletics;triple jump;Men's
3;Turkey;Halil KAYA;Great Britain;Wrestling Greco-Roman;52 - 57kg (bantamweight);Men's
1;Turkey;Hasan GEMICI;Finland;Wrestling Freestyle;- 52kg (flyweight);Men's
1;Turkey;Bayram SIT;Finland;Wrestling Freestyle;57 - 63kg (featherweight);Men's
3;Turkey;Adil ATAN;Finland;Wrestling Freestyle;79 - 87kg (light-heavyweight);Men's
1;Turkey;Mustafa DAGISTANLI;Australia / Sweden;Wrestling Freestyle;52 - 57kg (bantamweight);Men's
1;Turkey;Hamit KAPLAN;Australia / Sweden;Wrestling Freestyle;+ 87kg (heavyweight);Men's
1;Turkey;Mithat BAYRAK;Australia / Sweden;Wrestling Greco-Roman;67 - 73kg (welterweight);Men's
2;Turkey;Ibrahim ZENGIN;Australia / Sweden;Wrestling Freestyle;67 - 73kg (welterweight);Men's
2;Turkey;Riza DOGAN;Australia / Sweden;Wrestling Greco-Roman;61 - 67kg (lightweight);Men's
3;Turkey;Hüseyin AKBAS;Australia / Sweden;Wrestling Freestyle;- 52kg (flyweight);Men's
3;Turkey;Dursan Ali EGRIBAS;Australia / Sweden;Wrestling Greco-Roman;- 52kg (flyweight);Men's
1;Turkey;Ahmet BILEK;Italy;Wrestling Freestyle;- 52kg (flyweight);Men's
1;Turkey;Mustafa DAGISTANLI;Italy;Wrestling Freestyle;57 - 63kg (featherweight);Men's
1;Turkey;Hasan GÜNGÖR;Italy;Wrestling Freestyle;73 - 79kg (middleweight);Men's
1;Turkey;Ismet ATLI;Italy;Wrestling Freestyle;79 - 87kg (light-heavyweight);Men's
1;Turkey;Müzahir SILLE;Italy;Wrestling Greco-Roman;57 - 61kg (featherweight);Men's
1;Turkey;Mithat BAYRAK;Italy;Wrestling Greco-Roman;67 - 73kg (welterweight);Men's
1;Turkey;Tevfik KIS;Italy;Wrestling Greco-Roman;79 - 87kg (light-heavyweight);Men's
2;Turkey;Ismail OGAN;Italy;Wrestling Freestyle;67 - 73kg (welterweight);Men's
2;Turkey;Hamit KAPLAN;Italy;Wrestling Freestyle;+ 87kg (heavyweight);Men's
1;Turkey;Ismail OGAN;Japan;Wrestling Freestyle;70 - 78kg (welterweight);Men's
1;Turkey;Kazim AYVAZ;Japan;Wrestling Greco-Roman;63 - 70kg (lightweight);Men's
2;Turkey;Hüseyin AKBAS;Japan;Wrestling Freestyle;52 - 57kg (bantamweight);Men's
2;Turkey;Hasan GÜNGÖR;Japan;Wrestling Freestyle;78 - 87kg (middleweight);Men's
2;Turkey;Ahmet AYIK;Japan;Wrestling Freestyle;87 - 97kg (light-heavyweight);Men's
3;Turkey;Hamit KAPLAN;Japan;Wrestling Freestyle;+ 97kg (heavyweight);Men's
1;Turkey;Mahmut ATALAY;Mexico;Wrestling Freestyle;70 - 78kg (welterweight);Men's
1;Turkey;Ahmet AYIK;Mexico;Wrestling Freestyle;87 - 97kg (light-heavyweight);Men's
2;Turkey;Vehbi AKDAG;Germany;Wrestling Freestyle;57 - 62kg (featherweight);Men's
3;Turkey;Eyup CAN;United States;Boxing;48 - 51kg (flyweight);Men's
3;Turkey;Turgut AYKAC;United States;Boxing;54 - 57kg (featherweight);Men's
3;Turkey;Ayhan TASKIN;United States;Wrestling Freestyle;+ 100kg (super heavyweight);Men's
1;Turkey;Naim SULEYMANOGLU;Korea Republic;Weightlifting;56 - 60kg (featherweight);Men's
2;Turkey;Necmi GENCALP;Korea Republic;Wrestling Freestyle;74 - 82kg (middleweight);Men's
1;Turkey;Naim SULEYMANOGLU;Spain;Weightlifting;56 - 60kg (featherweight);Men's
1;Turkey;Akif PIRIM;Spain;Wrestling Greco-Roman;57 - 62kg (featherweight);Men's
2;Turkey;Kenan SIMSEK;Spain;Wrestling Freestyle;82 - 90kg (light-heavyweight);Men's
2;Turkey;Hakki BASAR;Spain;Wrestling Greco-Roman;82 - 90kg (light-heavyweight);Men's
3;Turkey;Hulya SENYURT;Spain;Judo;- 48kg (extra-lightweight);Women's
3;Turkey;Ali KAYALI;Spain;Wrestling Freestyle;90 - 100kg (heavyweight);Men's
1;Turkey;Мутлу;United States;Weightlifting;- 54kg (flyweight);Men's
1;Turkey;Сулейманоглу;United States;Weightlifting;59 - 64kg (featherweight);Men's
1;Turkey;Демир;United States;Wrestling Freestyle;100 - 130kg (super heavyweight);Men's
1;Turkey;Ерликайя;United States;Wrestling Greco-Roman;74 - 82kg (middleweight);Men's
2;Turkey;Бейлероглу;United States;Boxing;71 - 75kg (middleweight);Men's
3;Turkey;Пирим;United States;Wrestling Greco-Roman;57 - 62kg (featherweight);Men's
1;Turkey;Хусейн Озкан;Australia;Judo;60 - 66kg (half-lightweight);Men's
1;Turkey;Халил Мутлу;Australia;Weightlifting;- 56kg (bantamweight);Men's
1;Turkey;Хамза Ерликая;Australia;Wrestling Greco-Roman;76 - 85kg;Men's
3;Turkey;Хамиде Бикчин;Australia;Taekwondo;49 - 57 kg;Women's
3;Turkey;Адем Берекет;Australia;Wrestling Freestyle;69 - 76kg;Men's
1;Turkey;Халил Мутлу;Greece;Weightlifting;- 56kg (bantamweight);Men's
1;Turkey;Танер Сагир;Greece;Weightlifting;69 - 77kg (middleweight);Men's
1;Turkey;Нурджан Тайлан;Greece;Weightlifting;- 48kg (flyweight);Women's
2;Turkey;Атагун Ялсинкая;Greece;Boxing;- 48kg (light-flyweight);Men's
2;Turkey;Бахри Танрикулу;Greece;Taekwondo;68 - 80 kg;Men's
2;Turkey;Сереф Эроглу;Greece;Wrestling Greco-Roman;60 - 66kg;Men's
3;Turkey;Седат Артюк;Greece;Weightlifting;- 56kg (bantamweight);Men's
3;Turkey;Рейхан Арабациоглу;Greece;Weightlifting;69 - 77kg (middleweight);Men's
3;Turkey;Айдын Полатчи;Greece;Wrestling Freestyle;96 - 120kg;Men's
3;Turkey;Мехмет Озал;Greece;Wrestling Greco-Roman;84 - 96kg;Men's
1;Turkey;Ramazan SAHIN;China;Wrestling Freestyle;60 - 66kg;Men's
2;Turkey;Azize TANRIKULU;China;Taekwondo;49 - 57 kg;Women's
3;Turkey;Yakup KILIC;China;Boxing;54 - 57kg (featherweight);Men's
3;Turkey;Servet TAZEGUL;China;Taekwondo;58 - 68 kg;Men's
3;Turkey;Nazmi AVLUCA;China;Wrestling Greco-Roman;74 - 84kg;Men's
1;Turkey;Servet TAZEGUL;Great Britain;Taekwondo;58 - 68 kg;Men's
2;Turkey;Nur TATAR;Great Britain;Taekwondo;57 - 67 kg;Women's
3;Turkey;Riza KAYAALP;Great Britain;Wrestling Greco-Roman;96 - 120kg;Men's
1;Turkey;AKGUL Taha;Brazil;Wrestling Freestyle;125kg;Men's
2;Turkey;ISMAYILOV Daniyar;Brazil;Weightlifting;62 - 69kg (lightweight);Men's
2;Turkey;YASAR Selim;Brazil;Wrestling Freestyle;86kg;Men's
2;Turkey;KAYAALP Riza;Brazil;Wrestling Greco-Roman;130kg;Men's
3;Turkey;COPELLO Yasmani;Brazil;Athletics;400m hurdles;Men's
3;Turkey;TATAR Nur;Brazil;Taekwondo;57 - 67 kg;Women's
3;Turkey;DEMIRTAS Soner;Brazil;Wrestling Freestyle;74kg;Men's
3;Turkey;ILDEM Cenk;Brazil;Wrestling Greco-Roman;98kg;Men's
1;Turkey;GAZOZ Mete;Japan;Archery;individual (FITA Olympic round - 70m);Men's
1;Turkey;SURMENELI Busenaz;Japan;Boxing;64 - 69kg (welterweight);Women's
2;Turkey;CAKIROGLU Buse Naz;Japan;Boxing;48 - 51kg (flyweight);Women's
2;Turkey;SAMDAN Eray;Japan;Karate;Kumite - 67kg;Men's
3;Turkey;ARICAN Ferhat;Japan;Gymnastics Artistic;parallel bars;Men's
3;Turkey;AKTAS Ugur;Japan;Karate;Kumite + 75kg;Men's
3;Turkey;SOFUOGLU Ali;Japan;Karate;Kata;Men's
3;Turkey;COBAN Merve;Japan;Karate;Kumite - 61kg;Women's
3;Turkey;RECBER Hakan;Japan;Taekwondo;58 - 68 kg;Men's
3;Turkey;ILGUN Hatice Kubra;Japan;Taekwondo;49 - 57 kg;Women's
3;Turkey;AKGUL Taha;Japan;Wrestling Freestyle;125kg;Men's
3;Turkey;ADAR Yasemin;Japan;Wrestling Freestyle;76kg;Women's
3;Turkey;KAYAALP Riza;Japan;Wrestling Greco-Roman;130kg;Men's
2;Turkmenistan;GURYEVA Polina;Japan;Weightlifting;59kg;Women's
2;Uganda;Eridadi MUKWANGA;Mexico;Boxing;51 - 54kg (bantamweight);Men's
3;Uganda;Leo RWABDOGO;Mexico;Boxing;48 - 51kg (flyweight);Men's
1;Uganda;John AKII-BUA;Germany;Athletics;400m hurdles;Men's
2;Uganda;Leo RWABDOGO;Germany;Boxing;48 - 51kg (flyweight);Men's
2;Uganda;John MUGABI;USSR;Boxing;63.5 - 67kg (welterweight);Men's
3;Uganda;Камога;United States;Athletics;400m;Men's
1;Uganda;Stephen KIPROTICH;Great Britain;Athletics;marathon;Men's
1;Uganda;CHEPTEGEI Joshua;Japan;Athletics;5000m;Men's
1;Uganda;CHEMUTAI Peruth;Japan;Athletics;3000m steeplechase;Women's
2;Uganda;CHEPTEGEI Joshua;Japan;Athletics;10000m;Men's
3;Uganda;KIPLIMO Jacob;Japan;Athletics;10000m;Men's
1;Ukraine;Oksana BAIUL;Norway;Figure skating;individual;Women's
3;Ukraine;Valentyna TSERBE-NESSINA;Norway;Biathlon;7.5km sprint;Women's
1;Ukraine;Кравец;United States;Athletics;triple jump;Women's
1;Ukraine;Кличко;United States;Boxing;+ 91kg (super heavyweight);Men's
1;Ukraine;Шарипов;United States;Gymnastics Artistic;parallel bars;Men's
1;Ukraine;Подкопаева;United States;Gymnastics Artistic;individual all-round;Women's
1;Ukraine;Подкопаева;United States;Gymnastics Artistic;floor exercises;Women's
1;Ukraine;Серебрянская;United States;Gymnastics Rhythmic;individual all-round;Women's
1;Ukraine;Браславец/Матвиенко;United States;Sailing;470 - Two Person Dinghy;Men's
1;Ukraine;Таймазов;United States;Weightlifting;99 - 108kg (heavyweight);Men's
1;Ukraine;Олейник;United States;Wrestling Greco-Roman;82 - 90kg (light-heavyweight);Men's
2;Ukraine;Подкопаева;United States;Gymnastics Artistic;balance beam;Women's
2;Ukraine;Ронжина/Мазий/Фролова/Мифтахутдинова;United States;Rowing;quadruple sculls without coxswain;Women's
3;Ukraine;Садовничая;United States;Archery;individual (FITA Olympic round - 70m);Women's
3;Ukraine;Багач;United States;Athletics;shot put;Men's
3;Ukraine;Крыкун;United States;Athletics;hammer throw;Men's
3;Ukraine;Бабакова;United States;Athletics;high jump;Women's
3;Ukraine;Кирюхин;United States;Boxing;- 48kg (light-flyweight);Men's
3;Ukraine;Шарипов/Коробчинский/Мисютин/Шамаенко/Светличный/Ермаков;United States;Gymnastics Artistic;team competition;Men's
3;Ukraine;Витриченко;United States;Gymnastics Rhythmic;individual all-round;Women's
3;Ukraine;Таран/Пахольчик;United States;Sailing;470 - Two Person Dinghy;Women's
3;Ukraine;Готфрид;United States;Weightlifting;91 - 99kg (first-heavyweight);Men's
3;Ukraine;Тедеев;United States;Wrestling Freestyle;57 - 62kg (featherweight);Men's
3;Ukraine;Зазиров;United States;Wrestling Freestyle;62 - 68kg (lightweight);Men's
3;Ukraine;Калашников;United States;Wrestling Greco-Roman;48 - 52kg (flyweight);Men's
2;Ukraine;Петрова;Japan;Biathlon;15km individual;Women's
1;Ukraine;Микола Мильчев;Australia;Shooting;Skeet;Men's
1;Ukraine;Яна Клочкова;Australia;Swimming;200m individual medley;Women's
1;Ukraine;Яна Клочкова;Australia;Swimming;400m individual medley;Women's
2;Ukraine;;Australia;Archery;team (FITA Olympic round - 70m);Women's
2;Ukraine;Андрей Котельник;Australia;Boxing;57 - 60kg (lightweight);Men's
2;Ukraine;Сергей Доценко;Australia;Boxing;63.5 - 67kg (welterweight);Men's
2;Ukraine;;Australia;Cycling Track;Team Pursuit (4000m);Men's
2;Ukraine;;Australia;Gymnastics Artistic;team competition;Men's
2;Ukraine;Денис Силантьев;Australia;Swimming;200m butterfly;Men's
2;Ukraine;Яна Клочкова;Australia;Swimming;800m freestyle;Women's
